Total number of sentences:                    ,36487,100
Sentences with 0 markers:        ,30095,82.4814317428125
Sentences with 1 marker:        ,5508,15.095787540767944
Sentences with 2 markers:        ,746,2.0445638172499794
Sentences with 3 or more markers: ,138,0.37821689916956724
Sentences with at least 2 co-occurring markers: ,884,2.4227807164195467
