__context__	certe	debeo	fortasse	forte	oportet	possum
certe	0	5	2	0	1	21
debeo	5	32	2	1	7	69
fortasse	2	2	4	0	0	12
forte	0	1	0	0	0	9
oportet	1	7	0	0	16	66
possum	21	69	12	9	66	416
