"","certe","debeo","fortasse","forte","oportet","possum"
"certe",0,2.5,1,0,0.5,10.5
"debeo",2.5,16,1,0.5,3.5,34.5
"fortasse",1,1,2,0,0,6
"forte",0,0.5,0,0,0,4.5
"oportet",0.5,3.5,0,0,8,33
"possum",10.5,34.5,6,4.5,33,208
