Total number of sentences:                    ,36487
Sentences with 0 markers:        ,30151
Sentences with 1 marker:        ,5466
Sentences with 2 markers:        ,740
Sentences with 3 or more markers: ,130
Sentences with at least 2 co-occurring markers: ,870
